DNI,Nombre,Apellidos,Rol,Password Plana
40806281A,Lucila,Baeza Santos,votante,123456
56063304E,Cruz,Gonzalo Lillo,votante,123456
38135185N,Petrona,Bru Jódar,votante,123456
68353545Y,Violeta,Nuñez Cózar,votante,123456
73683427Y,Carmela,Girón Guardiola,votante,123456
26466037Y,Desiderio,Vélez Sanchez,votante,123456
79348921W,Fortunato,Pedrosa Pedro,votante,123456
73236467M,Sebastián,Ferrando Paz,votante,123456
46485816X,Octavio,Díaz Sánchez,admin_privado,123456
82530530K,Florina,Font Cisneros,votante,123456
13457394W,Vito,Rey Pacheco,votante,123456
73542390M,Pastor,Segura Castell,votante,123456
63634839A,Carina,Amat Zapata,admin_gobierno,123456
63332747Q,Hernán,Elías Vigil,votante,123456
95941069L,Olegario,Español Luz,votante,123456
97062910N,Rodolfo,Marco Jaume,votante,123456
13395333H,Amarilis,Miguel Rivero,votante,123456
49977088C,Cornelio,Daza Albero,votante,123456
13912392Z,Osvaldo,Giralt Avilés,votante,123456
47706036B,Débora,Nicolás Sedano,votante,123456
57783758F,Ariel,Alarcón Ortuño,votante,123456
45955143Q,Jose Luis,Donaire Bonilla,votante,123456
26164460M,Mayte,Hierro Tejada,votante,123456
99633007C,Lilia,Iniesta Calderon,admin_privado,123456
89503244D,Iván,Lamas Puerta,votante,123456
22208799E,Efraín,Benítez Mateo,votante,123456
14025862W,Ariel,Cañizares Romero,votante,123456
89090319A,Marcela,Narváez Serra,votante,123456
88877285H,Martín,Juan Palma,votante,123456
26061142A,Yéssica,Chaves Quirós,votante,123456
35013226G,Rufina,Téllez Baquero,votante,123456
92771455N,Priscila,Marin Serrano,votante,123456
43016954P,María Ángeles,Cabezas Ortiz,admin_privado,123456
55097358F,Pía,Martí Rivero,votante,123456
33172381X,Raquel,Raya Tomas,votante,123456
51428769X,Adrián,Gordillo Leon,votante,123456
29583587K,Fidel,Gutiérrez Ávila,votante,123456
78540029C,Visitación,Valentín Losada,votante,123456
88213816F,Primitiva,Pedrosa Porcel,votante,123456
60045166D,Sarita,Cerro Zorrilla,votante,123456
29818209C,Lucía,Guerrero Bilbao,votante,123456
34007500E,Juan Francisco,Figueroa Anglada,votante,123456
48222614D,José Mari,Nuñez Castro,votante,123456
95516383M,Maricruz,Chacón Sedano,votante,123456
73934665S,Isabel,Cañellas Tomas,votante,123456
